Age,MonthlyIncome,YearsWithCompany,ContractType,UsageHours,CustomerSatisfaction,NumComplaints,NumProducts,LoyaltyScore,LastActivityDays,Retention
29,6452,25,0,18.7476595210992,2.138389802839277,3,3,25.975551130851454,270,0
39,8184,22,0,40.709810033612996,3.4312861173287343,1,5,43.93693752830913,182,1
61,2789,7,1,8.521073372534264,6.611701791875896,1,4,56.56939479805804,224,0
42,1259,12,0,36.93005994341691,7.260368797718689,4,4,92.52925866848216,248,0
66,2918,15,1,11.667702811711335,9.269313978249198,1,2,60.98256102793708,121,1
44,7504,17,1,49.843504936054316,7.14267750754251,2,1,42.3035367155578,50,0
59,6518,15,1,33.550799593584934,3.4675761074319698,0,1,36.73632671431643,313,1
45,7603,12,1,6.340247533882115,2.66190667569822,4,3,34.818635221905204,273,0
33,9175,13,1,12.194509427938883,5.982431712104706,0,4,19.115960756614186,50,0
32,8252,7,0,42.429665202411364,9.979422028615529,0,1,3.1833289704636267,239,0
64,8230,28,0,4.690156769714459,7.028177951213241,1,2,86.78588662396186,150,0
68,1099,19,1,19.80910408859225,7.057651735673823,2,5,21.296124044052185,148,0
61,4905,1,0,4.964966964968336,1.705754355964657,0,5,9.732740929508989,50,0
69,3342,19,0,28.83993661037685,1.2101983684260862,4,4,1.4632196147472314,81,0
20,9091,7,1,4.851796983113089,6.965559297848874,0,1,16.58967069407219,41,1
54,4233,28,0,36.9362798605416,8.880089827635196,4,1,77.79293199412253,332,1
68,6024,27,1,44.57346522881536,9.010636834203053,1,4,17.364114549198405,105,0
24,1327,26,1,16.883923828990945,1.5394660278857204,1,5,58.163419911623215,21,0
38,3289,5,1,13.664476031927764,4.955175928859232,3,1,69.76017169409069,205,0
26,2365,12,1,36.752543261841765,8.552102767789416,3,3,90.04653865981358,174,1
56,2408,2,0,2.2191663685582492,7.797082949557481,2,5,68.65304426315589,355,1
35,1219,6,1,9.43343945815031,7.53272995237661,4,2,8.14907069724952,4,0
21,7407,5,1,3.074754128461752,4.382878126525363,4,5,19.5296870565821,321,1
42,4239,4,0,42.3999913146339,4.954026105846365,1,1,34.78927679096433,224,1
31,2269,26,0,36.53444876208179,4.6075230486572085,3,1,25.512964667768887,112,0
67,8542,15,1,44.30983657369113,9.37354031179824,3,3,67.2076936823775,209,1
26,4817,21,0,8.729586531522436,8.73445448792762,1,2,78.93466112727283,153,0
43,8189,2,0,16.06150045507091,2.302705960424471,1,2,40.57524552501376,18,1
19,7857,4,0,4.752939817806324,4.832460742477093,3,2,2.886609857039848,11,0
37,1067,2,1,44.32047598170844,8.207771257942385,0,5,84.54779455731722,201,1
45,9934,14,1,12.639877326217826,8.601002054953646,4,4,34.4380410324991,272,1
64,8225,1,1,35.98335923247463,9.81882825191368,2,4,96.33956880643605,195,0
24,6383,14,1,8.554259582552476,5.927912182475796,3,1,30.065389891323687,282,0
61,3012,26,1,1.0546701643129792,1.6754797968245851,3,2,25.511172606518205,277,0
25,4069,12,1,42.76216555377014,9.179289286003268,3,5,87.3154428224152,201,0
64,8666,29,0,46.95355271537566,7.811486381582039,1,5,65.1085272137464,208,0
52,1290,1,0,44.84075058091095,1.143546301634965,1,1,76.75222665686846,193,1
31,7312,17,0,8.840045043370854,8.836961906600717,1,4,7.01260033932402,221,0
34,8727,9,1,42.586988077978184,4.719535807836584,3,5,34.00944146033337,223,1
53,4679,3,1,32.83223135815863,3.559865281287331,4,1,39.36485326187704,139,0
67,4910,1,0,48.49173522287648,8.756879078006595,4,4,62.23815188005727,55,0
57,5651,29,1,10.208304009216219,6.032978554154981,1,1,54.39092641344608,106,0
21,1352,19,0,12.045214568467753,2.026013772551833,4,3,13.90988708421681,162,0
19,2263,29,0,45.359420596436486,7.626114510240768,0,4,36.94323686200811,194,0
23,2826,24,1,47.818917709307925,1.2901956552687608,0,5,1.677630212213113,202,0
59,5378,13,0,20.99071046808139,8.507905864504572,3,2,68.14816587612069,75,0
21,2605,2,1,49.098441921884024,4.231219033403146,0,1,7.73912517235221,74,0
46,4398,11,1,4.655979851320984,3.1421902808260884,3,2,12.549897407788121,115,1
35,5551,4,0,34.55567239094722,2.146820428737817,4,3,15.952965968134583,206,1
43,4006,1,1,40.32036538098919,6.792662299396305,4,2,93.4744346234414,13,0
61,2004,13,0,44.321234942628394,8.50529738365353,1,5,93.32877714343937,253,0
51,6967,28,1,18.648949513095,5.960157572446477,0,1,66.45965959946363,195,1
27,7428,22,0,34.02487667384377,4.721307622925822,4,2,44.71504363996618,185,0
53,3078,25,0,45.58546864915035,6.394349569235835,3,1,33.74709584180141,232,0
31,3495,29,1,49.722713795543804,2.3163926702352935,1,3,39.80940474663835,176,0
48,3261,4,0,45.87711345182397,6.408169465626282,0,4,10.801051919739955,273,1
65,2737,6,1,37.347951969748344,8.177845104928913,3,4,84.256516304842,144,0
32,4096,14,1,32.1110734662949,8.199819930676627,0,5,66.80471975017639,260,1
25,8927,18,0,37.452614753887445,5.058916383648313,2,2,3.224714423242836,75,0
31,3444,21,1,17.490086824820402,9.23949250830496,0,3,29.673563614494974,63,0
40,1336,18,1,36.52693941875907,7.035567354944005,2,2,99.91542316752508,43,0
57,3983,16,0,4.408558414982896,7.74257728106104,1,3,64.42688365426415,36,1
38,7998,15,1,49.321871390901315,5.943223037089968,2,2,73.24019621336504,87,1
33,5998,7,0,38.66554542624869,3.3627792227933435,2,4,4.239848868265731,278,0
62,9863,12,0,31.957158858478245,1.3513997931489936,0,5,18.20187723291043,265,1
35,9187,24,1,21.445785996121554,6.754265287917602,0,3,87.94796150679875,196,1
64,3595,20,0,4.759144631728107,1.6651927088096838,0,5,57.447109658158766,35,1
41,3970,10,0,17.582669089472976,5.681972926720545,4,4,66.85464617312037,135,0
43,4269,0,0,42.43468780770832,8.40010503349033,4,4,55.90103992151152,82,0
42,1478,17,0,20.07026774253748,1.9348178107603655,2,2,26.819988239513588,213,0
62,1843,23,1,47.82852097187046,8.603500728032113,2,3,19.575712398256123,348,1
58,2625,29,1,26.559644463820316,5.045915102715283,3,1,51.713575472885395,91,1
46,2880,29,1,44.23757084668054,4.376902303557563,0,5,80.46792230627013,245,1
32,9696,6,0,42.59728113188046,2.5527535790026668,0,3,39.881651160723976,26,0
62,9301,26,0,12.899998927546648,2.0126428526946207,2,2,74.00424313549092,336,1
18,5492,19,0,15.943145240847793,2.8143956307408344,2,3,29.75839350528972,192,0
42,4480,26,1,10.845923747381379,5.242634784903349,1,1,34.767919669152114,35,1
24,9542,2,1,8.775193369497444,7.72345349762202,3,4,67.30852690571996,153,1
26,4042,19,0,11.874960989261277,6.309861459790963,4,4,24.309425604338546,11,0
41,3836,20,0,39.87800564341002,5.827547676710837,3,5,64.85432585394302,28,0
18,9078,15,0,5.317557654216129,6.005231137083875,4,2,41.65750827868836,37,0
61,8874,3,0,37.19996518937508,2.7387364055774683,4,2,51.39577631475949,247,0
25,7564,12,1,13.083272139167962,7.133964558037199,4,2,44.867054178466354,340,0
41,4628,24,0,25.543921402027994,8.491717717646507,1,5,36.914829415660506,283,0
28,6017,0,1,2.9587281654713995,2.652483199329101,0,2,5.106599573327554,298,1
68,9302,0,0,35.646262035214825,5.275599703991023,0,2,12.585762707408715,269,0
34,8606,11,0,8.39684348644119,3.6655739611350517,1,5,28.80542825931384,9,0
25,2201,12,1,40.131795063526816,3.5981465003946393,0,5,90.21070828544464,273,0
52,7003,25,1,5.9425780070461105,4.513669333752301,1,3,32.69963499898029,144,0
52,1010,6,1,10.372730420191347,3.07215103058165,3,2,62.67961653003035,36,0
50,2501,2,1,46.20191678574135,2.1690928116391355,0,1,43.73874192257725,269,1
22,9320,3,0,34.926488032916254,3.9611649180916086,0,4,85.16701700736232,307,0
59,8905,0,0,5.560023516497526,2.151641336599219,0,3,18.03474596116352,102,1
56,4603,17,1,12.340318522263102,3.64388247040654,4,1,94.14207064977583,193,0
58,5195,4,1,33.86719630959522,8.95888498408567,0,2,24.293792611229364,108,0
45,1289,28,0,18.008413605278655,7.455144822391695,0,2,15.477735375705885,1,0
24,6688,28,1,39.75444730346574,8.700685509060847,2,1,12.990262332012234,235,0
26,8393,19,0,48.47970343009479,9.185766932030898,0,5,61.91925505054487,221,1
25,8605,10,1,34.502419775352635,9.355504289809222,1,5,50.61665250755281,158,0
29,3693,2,0,30.160346681028546,6.212328126332486,4,4,55.34195777590276,211,0
51,9374,17,1,14.899484824365851,4.479238960656471,4,1,70.25780542649575,40,0
50,1350,29,0,44.00285952090487,9.053800825773004,4,4,12.376164712612002,205,1
65,4586,16,0,6.073634084351825,2.3143048199195135,0,2,20.205924125828144,209,0
40,6915,13,0,15.146323192353265,4.615197141263971,2,2,67.54597192710715,316,1
41,6584,29,1,22.343581331368735,3.7339715871177304,0,3,9.726724283321674,99,0
54,3849,29,0,6.356105793041109,4.171435559257243,0,5,55.49103497265455,294,1
52,5435,0,0,10.49589298917629,4.760851104845388,2,1,9.693238638049284,101,1
61,7404,16,1,27.094347602693528,8.34133540351508,4,1,43.91353014561695,62,1
57,4927,6,1,6.101917675642379,2.7515604457096563,4,2,80.27483779678359,164,1
39,7514,15,0,19.410305652379304,8.536575439459149,3,5,54.130978536790934,128,0
44,8440,0,1,45.74195850763267,6.591394539522879,1,3,19.18217030087386,4,1
52,6816,14,1,24.218851899767696,4.924235792309301,4,5,40.465191269875014,161,1
18,7592,1,0,30.508602946811248,9.968510207817491,2,2,73.42817884019209,25,1
52,6825,1,0,10.874325926451322,5.489148692798554,2,1,80.21023615282148,206,0
54,4488,23,1,42.30551054826892,6.097247462388305,4,2,65.4426911117452,282,1
64,2895,4,1,30.67517449421305,9.56619543691616,1,3,69.91108652569018,6,1
31,3908,3,0,48.1576290284723,3.6028511070539997,2,5,70.69644909102466,90,0
20,2411,2,0,13.679378099067534,1.295995466871626,4,1,65.38363503607493,268,0
18,6457,7,1,30.37767778430159,8.922300506279825,2,2,11.808600458005738,138,0
22,4999,13,1,29.79563600634926,9.53458182475071,3,4,60.73697646973149,323,0
43,6448,25,0,44.483429660083104,6.3111060293443835,0,5,67.79173672230796,271,0
31,9847,5,0,37.32116155011558,2.4838242048163135,3,2,36.79979152188209,222,0
56,7292,22,0,9.075106838811884,4.74465865782763,4,1,88.45823605908878,72,0
44,9541,10,1,42.510069309343734,5.084136048468912,0,1,15.624413805404643,352,0
26,8008,4,1,43.743571821533834,2.044819516589267,1,1,20.228086651650226,274,0
32,2143,4,1,27.14973169312234,3.262108314263295,0,1,71.66747819989052,28,1
32,1397,13,0,24.971615504364134,9.635377992069152,3,4,31.425905365011754,269,0
43,1645,25,1,28.30765200543341,9.680278520477563,3,2,40.076194720246974,73,1
59,8606,23,1,3.4703964927106252,5.811757512159213,1,3,22.990397912536913,163,0
30,5132,16,0,32.43523588618451,5.171099146476934,2,3,98.66087970579522,257,0
68,3234,27,0,5.469335945291381,5.8172929465529855,1,5,83.92968871453921,143,1
49,2962,18,0,33.93271489267627,2.132187963093232,4,2,65.36064732931729,359,0
56,1809,10,0,47.053207028977404,6.7743615536956225,4,5,36.541350648474605,45,0
66,7473,6,0,34.23070645104897,8.783247649104604,1,1,67.92090663898003,240,1
69,8483,12,0,24.25146379744464,4.531987855368227,1,4,96.21638026500872,219,1
49,5415,18,0,34.32139467757096,2.479477888803763,2,5,92.00330495874873,358,0
21,7618,24,0,33.606748823413184,7.594829904595633,4,2,7.820538343622873,78,1
47,9705,17,1,26.74778164120059,1.5171438894776714,1,4,64.08010670594241,9,0
54,9525,15,1,39.990976338293784,5.066964290726444,4,4,20.617687726534452,105,0
40,5819,11,1,46.46592462804494,9.293558854531415,1,2,14.8717852343277,317,1
56,1007,27,1,3.194337798369166,1.727411084253649,0,4,75.51862161879122,143,1
62,6815,14,1,45.89508564981913,8.50463210730673,1,4,19.819130381938816,309,0
32,9132,0,1,20.08392557004806,4.6905884981086015,2,1,58.74759276969752,261,0
60,6414,10,0,9.601959570840327,2.5600120290055046,0,2,9.890477875156035,224,1
46,3946,6,1,4.109899201975513,4.96533226610579,1,5,56.9211041620769,4,0
53,6736,15,0,40.826942542375235,3.887246955536186,1,5,23.403082001119483,70,0
30,2844,8,1,44.07243577904991,2.872931019082732,1,5,1.818394238084663,331,0
49,4611,19,1,47.776486576477964,9.13220515126354,0,3,24.240324204579473,341,1
24,8559,8,0,31.407903101563488,4.536386191425127,1,3,85.67515678892012,78,0
68,9184,11,0,3.9969441302250273,3.4912556108091612,0,5,57.178460564008525,155,0
39,6686,18,0,20.773010542286723,5.398032580433548,4,4,21.97313540603211,214,1
45,4065,13,0,9.663919613582676,1.2129321759030198,2,4,98.2227897116524,345,0
19,1679,11,1,38.50745642635044,1.9854590906681664,1,5,76.35084235628857,216,1
59,8190,23,0,44.43756997244715,2.8285518107803576,3,2,68.56671074628855,334,0
62,6347,8,0,9.766275453695535,9.373097398023347,1,5,67.12736786949016,117,1
23,5047,20,0,2.39573144004102,9.051736502205692,0,3,64.28379013288992,69,0
45,1009,11,0,35.42657950421621,6.514701637990358,0,2,37.05795982673097,192,1
45,7463,12,0,14.738548021611782,7.034696156016414,0,1,15.355747057972508,157,0
61,6321,4,0,26.879129889435756,1.8583161432106956,0,3,11.451148430613719,201,0
61,5216,4,1,45.38634763656638,2.9754613820760687,1,1,95.98006381418489,166,0
37,9865,8,1,27.48819811661769,8.49803171398617,2,3,82.56539523795446,319,0
47,8734,24,0,1.897860358758396,9.735475693333221,1,4,41.48661003046347,303,1
28,8506,18,1,35.81858723501247,7.361589146665907,1,1,21.78475893111934,164,0
45,2456,19,1,48.41261640591922,5.671611562760763,2,2,38.17666909880538,241,1
42,1043,5,0,45.217174651366314,1.5618956181867019,3,5,43.10443517082703,355,0
56,8326,7,0,49.26399031219361,1.1479165145694568,1,3,85.03965992149024,44,0
50,8776,17,0,5.500625929381158,8.19614824798344,2,1,84.83731011389497,49,1
18,5570,29,1,47.43216134607071,3.0492784003100972,3,5,69.15690152978289,265,1
44,3571,12,0,44.77725323539668,3.6947388691556435,4,2,25.3408068463374,327,0
69,9200,15,1,12.172025345240096,3.1653240236419795,1,4,44.893793282323685,3,0
30,6632,19,1,5.277643373713034,1.9841695022485255,3,4,57.96467870117688,338,0
58,2862,4,1,47.04020605510098,8.524992474539056,3,1,95.07605606643621,245,0
20,2233,21,1,13.313520906757654,5.78815222262291,2,1,6.641734008480358,118,0
56,4125,10,1,31.667340986252558,2.8189354665073907,3,5,86.38946922375399,71,0
23,5711,16,0,16.00386109766255,4.702003115119628,3,4,36.758205887519935,339,0
25,3457,21,0,22.66006845458323,8.356898038423207,1,3,10.199317857497862,144,0
44,9201,29,0,30.815642887325307,3.067306782234601,4,1,17.64309931393095,204,0
26,7699,9,1,8.015547411363368,1.7686377271030829,4,1,71.60868580787333,37,1
54,9459,29,0,13.630540276382805,9.328561845317072,1,3,43.00606131892176,94,0
50,8157,6,0,12.026965197468076,5.564559922814422,2,4,25.628470804585266,248,0
68,3714,24,0,45.52869070582661,7.609707691857392,2,3,60.95001266691503,313,1
59,5546,10,0,5.525660607540562,8.475121367551955,4,4,30.07675638729854,235,0
61,8364,7,1,49.75343382054791,4.261148055635645,3,2,81.78866607918468,116,1
41,8219,18,1,29.14938109533326,3.6471999795901344,0,4,33.36858070877542,232,0
32,8636,4,1,36.05740361642664,7.888576649199909,0,4,73.85825196553027,36,0
49,8541,15,0,36.58102296043026,3.072232676465118,3,3,54.38450227059154,110,0
49,9485,0,0,45.868087748013515,7.930327503488929,3,5,87.59709310375523,93,1
41,3835,24,0,9.506966520973817,4.890885000560587,3,4,84.28396341064273,12,1
58,9013,25,0,48.54298068598429,6.584501269591935,3,4,30.811560613863534,183,1
69,8955,27,0,18.577854765721135,3.033586120343626,3,2,67.68270393403888,173,0
66,5205,22,0,22.05010842068996,7.60897643724356,4,5,76.99288265710202,8,0
66,3154,18,0,11.982462428213516,7.704761018605912,3,1,28.979674695785302,80,0
69,6108,28,0,16.65896769611084,2.94592300805051,3,2,56.88992085273994,43,0
29,4923,21,1,7.0497892060726395,3.3612081636958053,1,1,67.53737531798951,322,1
56,7084,9,0,30.02805531796471,3.811377889213819,3,1,12.8727783706588,23,0
19,8262,13,1,48.608913674937526,4.873255448715573,4,5,16.494882341474003,274,0
20,4868,16,1,44.97420529815887,2.172876008397713,4,1,21.949575127514198,343,0
66,4790,12,1,24.354879295091255,4.185814955409107,4,1,1.0198850416226408,176,0
54,3007,15,1,22.30736550299319,5.797555801320386,0,2,66.98062882531964,165,0
66,2273,26,0,28.282655802980084,2.3842860873379514,4,1,99.54844903152184,116,0
34,7873,18,1,29.840292259578682,7.333878278399215,0,1,4.41743593175229,313,0
66,7852,11,0,36.693564792751964,1.8991641104586108,3,4,19.38828811900438,3,0
19,8811,15,0,2.4785192104892735,2.100937706838966,0,5,53.9858492646988,239,1
19,3264,16,0,10.322787874511013,1.1635111912688536,0,5,58.04987172743283,152,0
45,2610,14,1,3.1463292170779957,2.845838150558486,1,4,51.48586155999402,262,0
40,2786,6,1,37.331329354106565,9.060933895297456,1,1,79.29621094261275,354,0
54,5399,18,1,21.347404396604713,1.2138697387066912,0,4,24.612678313812353,311,0
49,4482,20,1,1.6892542423112333,6.476233477877769,0,3,92.93835092360237,250,0
50,7546,28,1,42.655930920566554,8.996176536024686,3,3,71.00007645189457,171,1
18,9571,4,0,11.41881668991146,7.507294342243336,2,3,26.31063175627001,275,0
36,7595,24,0,9.391541707458844,2.250525471464108,3,2,99.22808231000248,46,0
19,1693,14,0,13.495574062674926,9.806914005168364,4,4,60.500399278035346,85,0
61,8025,14,0,27.651859154698165,5.450693423336417,2,3,11.10427629520064,265,0
43,2755,0,1,26.11097937327977,6.023357469263951,3,4,20.160969036522033,325,0
49,8033,14,1,31.057937106505705,6.279815947032702,1,2,38.607988144709914,290,1
23,8693,2,0,41.005075837012456,4.786016970372592,2,3,62.86555193210278,359,1
49,1847,19,0,7.97723452969216,6.024776634566946,3,3,79.23076739970169,144,1
21,5061,19,0,26.481223772021377,8.062995716965162,1,2,29.384717215804507,66,0
28,2195,14,1,46.59432788100663,2.2606282516899574,1,2,61.04187715249175,125,0
34,6478,23,0,8.232210182792498,8.41100004083573,2,4,48.67752700740344,48,1
55,7332,7,1,39.06632166890856,3.3343681131823972,2,2,47.20662466645024,23,0
41,9154,19,0,44.81770801532032,3.168238843605129,0,2,37.1331369998145,315,1
22,6648,9,0,3.3277972810327174,9.980131968802366,0,4,39.343322282630616,142,0
69,4320,13,1,18.390978147883246,4.737938310969934,1,5,34.96778948639332,181,0
51,3457,24,1,3.552637329521177,5.571422924165515,1,5,61.5817324180663,335,0
23,4450,24,0,45.89268544114709,7.363140116473334,2,1,93.82021713071687,292,0
39,9418,2,0,17.45269679781315,2.845584738199992,2,2,44.69942669244285,277,1
28,2807,29,1,5.0436202554263865,4.7356738060484656,0,2,96.2975151404379,339,1
65,1418,28,1,5.167514873187763,1.0696637344942976,4,1,77.00237418727873,326,0
33,4155,8,0,34.384104214763084,3.604947991566419,3,4,72.09786184282973,321,0
50,8364,23,1,49.730513716805156,5.1957659752105085,4,1,45.61752296092339,343,0
26,4818,19,0,30.264740462023486,4.319978516341488,3,4,59.89593106866234,104,0
23,3631,9,0,1.1609392242662524,3.046047552191009,2,2,8.777220768432855,312,0
33,4674,20,1,15.51589618641802,2.468515851049593,0,1,83.3429256596759,71,1
46,5630,28,0,5.497465948167808,5.145246317788336,1,1,11.603152539994156,185,1
20,7868,1,1,13.499294370546597,4.8905775459685055,1,3,1.6779667337013195,232,1
37,6513,22,0,37.39767048992703,8.468088584818403,0,1,40.26904668869134,213,1
53,2829,17,1,20.570929677684074,5.50434953918945,3,3,43.96406599329201,137,0
36,9276,0,1,13.039848085584545,5.280982969246687,4,3,80.72836388553763,287,0
43,4812,25,1,20.07300422957304,4.363604523513718,1,2,4.190745370575668,277,0
20,1886,10,1,18.87288740492663,1.2218091244256164,0,3,83.43171186337342,231,0
36,8594,4,1,12.220562056060192,4.613001944366926,1,5,84.33165804904357,159,1
37,3797,23,0,6.56918070058485,2.8742164140756556,3,2,99.7858313922235,200,1
49,5147,28,0,40.76942536961946,7.110104394271743,1,5,44.81141368534354,158,0
24,3131,3,0,33.57727777685423,4.914140366496211,4,3,34.79489868101949,193,1
69,3759,0,0,14.278751355569291,8.545958890120446,1,2,96.30679151768832,74,0
58,9932,3,1,4.2345362167533676,8.000876604552356,3,2,6.225209156413799,290,0
50,3876,24,0,35.81116267186829,8.443815962851424,4,3,88.70451203288711,207,1
57,1055,23,0,11.291021674961753,3.2093005064531637,1,3,2.1511152541139142,356,1
56,4362,24,1,32.85024561204837,5.187323010211528,3,3,26.14526676181056,95,0
35,9998,22,1,22.070783264189618,9.178832828865461,4,2,91.85771135711053,233,0
57,4056,21,1,16.054812614843033,2.916396215620224,4,4,4.672854500461872,99,0
18,5750,21,0,12.396846236535985,4.2930533271129026,3,4,30.27083198062323,26,0
28,6003,0,0,12.246245432883732,6.086011300235668,2,1,90.74317445454922,24,0
45,8905,14,0,6.003253766275176,6.285402050318232,3,4,72.3946960623038,202,1
42,5103,18,0,47.07915426896563,4.859227852651879,4,5,38.134383807704786,82,0
67,7267,1,0,16.70915714166091,5.183688879086232,0,1,19.971869837751665,100,0
40,2781,22,0,48.55155399968998,4.5236264941160105,4,3,4.681914025731951,196,0
48,1989,13,1,18.15036067235052,4.391277831382667,3,1,17.83420435344408,49,0
47,8552,25,0,49.63948267192961,8.824514582722555,1,3,2.9946538224308608,110,0
59,6199,21,0,25.142710744484976,2.8180370139922557,4,4,94.11321545192546,102,1
52,4369,2,0,3.501835772941706,5.679530564073113,3,1,77.64238665224381,27,1
24,1377,3,0,18.50638227308463,6.259405850483336,2,1,5.896177617690333,15,0
33,3377,0,1,42.15614883481292,3.595454415635804,1,1,69.45841275855912,191,0
43,7045,10,1,9.981621266568158,1.3496108870343981,2,2,14.313281234500012,148,0
65,1281,19,1,25.8529448114326,3.058109958723968,2,2,35.68748435789762,80,0
69,3919,17,0,42.83029290998705,6.173111692787782,1,4,94.198431758393,84,1
66,7984,20,1,44.143534779196195,3.13979580749623,3,1,67.77461902245226,152,0
19,4594,15,0,15.585719935986525,9.058786449893862,3,5,13.245703000245012,142,0
18,2838,14,0,1.1779469708528736,2.902352027539534,4,5,94.04224483160398,357,1
65,7570,24,0,24.920092905752547,4.9497414692595,2,5,74.97010197126347,235,0
29,9406,24,0,39.73742194829437,1.4177737165632291,3,1,71.11592994363846,95,1
22,5730,16,1,11.814401349879493,8.86075337789249,2,1,21.105028762923492,140,0
54,3120,21,1,8.640061709576269,6.574119408767253,1,4,36.01009150192195,81,1
49,3870,1,0,20.521355635236876,5.5048954752333445,1,1,40.37074253636007,281,0
26,1785,0,0,15.353299557037499,3.2678177380022886,4,3,50.497371238419944,111,0
58,8773,24,0,13.10093638700669,2.6348572912188284,3,1,54.994355612044416,295,1
52,1937,13,1,42.542736036900514,6.346037166771997,2,5,14.446584815049148,70,1
36,4112,13,1,7.933922655533655,7.881153965745028,3,1,38.72420170921512,40,1
65,7432,17,0,4.540706026565074,5.002761959379962,4,1,81.26766431625335,243,0
33,7698,29,1,7.824328418308227,5.59502608616329,3,3,29.604986365305802,281,1
20,8437,21,0,25.218862043480517,2.1150711575927135,3,1,91.26957202549531,221,0
37,5534,21,0,46.76356695429,2.879323241316333,1,1,25.04086171063278,138,0
41,6629,18,1,8.152915892568341,4.310604203313712,1,1,38.91421509140873,138,1
50,7171,5,1,45.52930103334926,7.941756798560239,0,5,20.376727598936593,302,0
41,9461,3,1,44.43911235327632,1.5746899302159543,2,5,36.92246087068615,219,0
69,2490,7,1,22.291637834624368,8.738768534541183,3,3,80.06700385370874,166,1
28,7041,12,1,47.18199183596042,4.597602221540082,0,2,61.736781550292385,340,0
66,5769,19,0,21.517919026965508,8.015725927227392,2,2,23.02740561818812,135,0
25,7389,6,0,11.672141727502275,3.7013288693841693,3,3,3.383333078719249,4,1
53,9601,9,0,40.90092020466894,8.805702234323551,3,2,30.027169328295134,364,1
55,7641,17,0,27.065024872057595,4.1702012844973,0,4,10.246435454389212,218,0
57,8155,27,0,27.20740099752757,8.134544632986712,1,5,47.25687544733764,169,1
37,9983,21,1,30.075632534752632,1.6776776917697673,4,5,24.9887389514062,83,1
52,6342,25,0,1.9726896504015423,3.457700207977337,0,5,84.08451877314583,175,0
65,1359,20,0,5.501396037256597,9.925563171819686,0,2,26.943773152352055,190,0
42,5677,0,0,1.9688140772891312,1.9109816886439475,4,1,45.406345105314365,189,1
52,6139,26,1,24.85805713779982,8.211533394662844,1,4,51.407402432694354,58,1
42,9614,4,0,20.69599857960382,5.129118395429715,1,4,82.23137355816671,63,0
46,9312,21,0,48.26031155319613,6.846210119674756,1,1,83.71729117759378,8,1
35,3220,1,0,36.10277298061234,9.536525659459667,0,5,8.975421097084407,135,0
63,5129,10,1,37.303995341141544,2.3803818925395106,3,2,15.788019119916921,154,1
35,9262,15,1,14.870323971515008,4.390677389294836,0,2,56.777970532087885,85,0
19,4692,6,0,32.48792131924569,4.562309452916008,4,5,40.62773569468553,128,0
52,5630,13,1,7.372179195668086,9.918938919966092,2,1,80.4480541103423,360,0
33,9205,27,1,24.45970460404567,2.791343359157353,4,2,54.26377034041519,204,1
58,6425,0,1,36.22919329125861,8.981422132456267,1,1,76.20712121025404,207,0
53,4900,11,1,41.38572560005529,4.698616674740557,2,5,33.39938860905079,247,0
50,9462,10,0,40.019939975316035,9.765438297919074,0,5,89.35704982405237,177,0
